English    - When I use a word, it means just what I choose it to mean neither more nor less
Arabic     - يونكود في النظم القائمة وفيما يخص التطبيقات الحاسوبية، الخطوط، تصميم النصوص والحوسبة
French     - Vous êtes le Phénix des hôtes de ces bois
Hindi      - इनके उपयोग से आनलाइन/आफलाइन कहीं भी हिन्दी में लिखा जा सकता है
Urdu       - فعہ ۱۔ تمام انسان آزاد اور حقوق و عزت کے اعتبار سے برابر پیدا ہویٔے ہیں۔ انہیں ضمیر اور
Portuguese - Toda a pessoa tem direito à educação. A educação deve ser gratuita, pelo menos a correspondente ao ensino elementar fundamental
Persian    - هر کس حق دارد آزادانه در زندگی فرهنگی اجتماعی شرکت کند، از فنون و هنرها متمتع گردد و در پیشرفت علمی و فوائد آن سهیم باشد
Pushto     - پښتو د هند-ایراني څانګې په شمال ختیځ ایراني ګروپ پورې اړه لري، خو ایتنولوګ دا د سویل ختیځ ایراني په توګه لیست کوي
Chinese    - 史密斯是王明　的　朋友
Swedish    - Jag heter Simon och jag är fjorton år. Jag bor tillsammans med min mamma, min pappa och mina två systrar
Japanese   - 質ネ読53代ねえお負消エフ為38発さつ製訃挙つーみな状積定求ッイぶむ犯戻ラえつぱ製都ぱろゆ
